variable,M6_baseline_coef,M6_baseline_pval,M6_time_fe_coef,M6_time_fe_pval,delta_abs,delta_pct
cash_to_assets,-91.98193240756447,0.006784421412485919,-45.40202314625003,0.13464580232000944,46.57990926131444,0.5064028124014904
credit_level,0.365260996309954,0.8703631251324515,,,,
credit_level_x_rollover,10.214542117364296,0.520286090125347,8.56542452640415,0.5642380277779975,-1.6491175909601452,-0.16144801910960982
credit_slope,-0.964594394731599,0.0,,,,
current_ratio,7.060510360556747,0.08283342083774703,5.504344656571744,0.13295059000079745,-1.5561657039850028,-0.22040413858443703
interest_coverage,0.025379474724275725,0.36843999552337814,0.009441790534955627,0.6784459914872687,-0.0159376841893201,-0.6279753368605199
ivol_252,257.11680006949575,0.0,233.35739977971838,7.044809180456468e-11,-23.759400289777375,-0.09240703168114833
leverage,26.71574463889098,0.1515435727246741,30.469752115691975,0.11440472796822121,3.7540074768009966,0.14051667013376695
log_assets,0.5791351187573129,0.927071649099968,12.797813987850157,0.0358838926824816,12.218678869092845,21.098148727901773
mkt_ret,-65.25830107428416,1.5243107497342478e-05,,,,
mkt_ret_x_leverage,-132.55794034506224,0.0006810370598195892,-126.90319983565958,0.0021122521845913234,5.654740509402657,0.04265863285656653
move_eom,-0.04783503833088946,0.21940410967679558,,,,
policy_rate,-8.744251375865806,0.0,,,,
residual_maturity_mean,6.561757807730209,8.304468224196171e-14,4.018088810397306,7.528147302804378e-05,-2.5436689973329027,-0.3876505460680495
rollover_12m,21.409499228963192,0.1478729442918565,-2.7650788850334984,0.840740904308225,-24.17457811399669,-1.1291519645304382
term_spread_10y_2y,-37.01643015329419,0.0,,,,
