block,variable,non_null,null,null_pct,n_firms_with_data,n_periods_with_data
cds_aux,cds_5y_mean,9942,18759,65.36,100,132
credito_agregado,credit_level,28574,127,0.44,271,131
credito_agregado,credit_slope,28574,127,0.44,271,131
credito_agregado,crc_level_beta,22311,6390,22.26,262,108
credito_agregado,crc_slope_beta,22311,6390,22.26,262,108
dependiente,n_bonds,28701,0,0.0,271,132
dependiente,n_bonds_oas,28701,0,0.0,271,132
dependiente,oas_mean,28701,0,0.0,271,132
equity,beta_252,27103,1598,5.57,271,120
equity,ivol_252,27103,1598,5.57,271,120
fundamentals_core,residual_maturity_mean,28701,0,0.0,271,132
fundamentals_core,log_assets,21780,6921,24.11,198,130
fundamentals_core,cash_to_assets,20672,8029,27.97,189,130
fundamentals_core,leverage,17783,10918,38.04,197,109
fundamentals_core,rollover_12m,17776,10925,38.06,197,109
market_power,market_share_w,25877,2824,9.84,267,131
mercado_macro,mkt_ret,28701,0,0.0,271,132
mercado_macro,policy_rate,28701,0,0.0,271,132
mercado_macro,term_spread_10y_2y,28701,0,0.0,271,132
mercado_macro,mkt_vol_60d,28447,254,0.88,271,130
