variable,M6_pre_coef,M6_pre_se,M6_pre_pval,M6_covid_coef,M6_covid_se,M6_covid_pval,M6_post_coef,M6_post_se,M6_post_pval
leverage,-23.793492310996655,31.21411483797379,0.4459460822925252,-71.90697037001166,34.38494977564859,0.03657879021438837,24.99781855249439,28.345070975223646,0.3778526153178887
log_assets,5.416151891239909,7.73624514860817,0.48390550671090926,6.83269024688902,15.028440081999156,0.6493886800298805,5.021909405855057,7.8043382286717895,0.5199339783397507
cash_to_assets,40.83365489666439,37.02856980146117,0.27019817367526455,-187.2127763870829,65.82792361299785,0.004481259533328785,-44.631398532900214,53.13592027829768,0.4009636779596488
current_ratio,-3.590738355627184,4.187345165663111,0.3912087301560052,15.191673513585528,9.288128542501974,0.1020127050123103,4.846924819090911,4.975081483395291,0.3299677738465516
interest_coverage,-0.04927184442709717,0.019540862969513302,0.011725307060976187,0.14073245316994135,0.04075121547628252,0.0005600010884954099,-0.014880289561723827,0.02217584547443104,0.502232068143794
residual_maturity_mean,1.8468256604718516,0.8772104740676706,0.03532470024871093,15.144965459054053,2.47442241180756,1.034825558576813e-09,2.263078337894226,0.9815471126747775,0.0211580459229892
rollover_12m,-15.937970090797085,22.067884447808343,0.470199081506965,44.74983344894935,33.48752022937639,0.18153331835536313,-11.522502769393448,14.39963692493505,0.4236230432433181
ivol_252,321.46641764466307,46.52111230598756,5.6203930398623925e-12,207.30531919213598,34.77907943321811,2.7609130537342708e-09,212.84604120693842,40.35156370686986,1.3651614216847463e-07
policy_rate,10.166941583705729,1.9706280549326232,2.6012216158832757e-07,-55.236658087635924,3.910089177958301,0.0,-7.776348588027274,0.914926057142308,0.0
term_spread_10y_2y,33.60244176274465,3.46227080252582,0.0,-88.54733746078189,4.237665111280478,0.0,-14.169355781606134,2.9642817653703033,1.7851117000144967e-06
move_eom,0.42433984577156164,0.05542015346754168,2.375877272697835e-14,0.5799348891371606,0.05622102928143283,0.0,0.5814139796271499,0.026340817375688157,0.0
mkt_ret,-20.610276659602967,16.83160672337401,0.22083719228633103,-111.94771109900758,26.173197363592568,1.9431007458381444e-05,72.5004797928288,21.957482590372553,0.0009648324881545989
credit_level,-369.27426368084656,66.96029161101498,3.714464269499729e-08,202.89374910676702,47.05960947483277,1.666652824217074e-05,-9.585271233497402,1.867751052531312,2.936930791896941e-07
credit_slope,-103.5877143677846,36.44017872347308,0.0044965523153404074,-212.11173781577344,34.40994191713621,7.8840978190442e-10,-1.1287540442605937,0.07874093358377836,0.0
mkt_ret_x_leverage,-47.42170130863608,44.40229876109317,0.2855852415158433,-48.35639405594167,71.88144790166353,0.5011669877661231,-170.29525268404078,65.56042011895536,0.009407478759937415
credit_level_x_rollover,143.6322329147755,298.43467718114204,0.6303403524849842,-386.5860303133091,215.76049311845867,0.07326118796431724,9.046700145223202,14.667330275858182,0.5373897528233398
