variable,M4_lag,M5_lag,M6_lag
cash_to_assets,-94.7468***,-108.3866***,-91.5012***
,(34.2036),(34.7633),(33.8889)
credit_curve_shock_l1,-1.2681***,3.5166***,-1.1721***
,(0.2276),(1.2298),(0.2280)
credit_tightening_shock_l1,16.9034***,11.7581***,11.8397***
,(1.4407),(2.2287),(1.9277)
credit_tightening_shock_l1_x_market_power,,-4.7823,
,,(16.7403),
credit_tightening_shock_l1_x_rollover,,22.9591*,21.3142
,,(13.6145),(13.9488)
current_ratio,7.3718*,8.0255*,7.0490*
,(4.0836),(4.3322),(4.0612)
interest_coverage,0.0277,0.0175,0.0263
,(0.0283),(0.0303),(0.0282)
ivol_252,250.8664***,251.3603***,257.9666***
,(30.0788),(31.9388),(29.8708)
leverage,25.8020,30.2294,26.5200
,(18.6708),(20.0651),(18.6214)
log_assets,-0.7159,-5.2796,0.5854
,(6.4566),(7.0119),(6.3260)
mkt_ret,,,-63.2229***
,,,(14.8853)
mkt_ret_x_leverage,,,-133.0253***
,,,(38.8190)
move_eom,0.0365,0.0960**,-0.0529
,(0.0372),(0.0444),(0.0394)
policy_rate,-9.2123***,-11.2462***,-8.7681***
,(0.8516),(0.7945),(0.8421)
residual_maturity_mean,6.7507***,7.9583***,6.5785***
,(0.8809),(0.9478),(0.8774)
rollover_12m,24.2700,25.7338*,21.0734
,(14.8472),(15.6062),(14.7899)
term_spread_10y_2y,-36.0884***,-43.5873***,-37.5544***
,(2.4768),(2.4704),(2.5098)
Observaciones,15706,13969,15706
Firmas,170,168,170
Periodos,109,108,109
