variable,M4_lag_covid,M5_lag_covid,M6_lag_covid
cash_to_assets,-94.0565***,-107.8884***,-91.2454***
,(33.7253),(34.7885),(33.5775)
covid_dummy,-11.6710***,-3.5202,-8.7329***
,(2.5096),(3.4091),(2.4811)
credit_curve_shock_l1,-0.9088***,3.2282**,-0.9116***
,(0.2469),(1.2695),(0.2459)
credit_tightening_shock_l1,15.4974***,11.5165***,11.0205***
,(1.4528),(2.2347),(1.9608)
credit_tightening_shock_l1_x_market_power,,-4.6627,
,,(16.5179),
credit_tightening_shock_l1_x_rollover,,23.2420*,21.7398
,,(13.6355),(14.0899)
current_ratio,7.2880*,7.9551*,7.0115*
,(4.0696),(4.3389),(4.0561)
interest_coverage,0.0238,0.0167,0.0235
,(0.0282),(0.0303),(0.0281)
ivol_252,273.5108***,259.3349***,274.3102***
,(30.4621),(33.4399),(30.3772)
leverage,23.1214,29.2664,24.5588
,(18.4854),(19.8816),(18.5077)
log_assets,1.4440,-4.3971,2.0929
,(6.2537),(7.0606),(6.2017)
mkt_ret,,,-54.8573***
,,,(14.6717)
mkt_ret_x_leverage,,,-130.9390***
,,,(38.4554)
move_eom,0.0173,0.0861*,-0.0599
,(0.0374),(0.0485),(0.0392)
policy_rate,-10.6904***,-11.5592***,-9.9115***
,(0.9380),(0.8963),(0.9221)
residual_maturity_mean,6.4482***,7.8164***,6.3663***
,(0.8736),(0.9915),(0.8731)
rollover_12m,19.8117,24.2067,18.0149
,(14.6728),(15.4716),(14.6709)
term_spread_10y_2y,-35.0621***,-42.8741***,-36.6650***
,(2.4021),(2.4202),(2.4453)
Observaciones,15706,13969,15706
Firmas,170,168,170
Periodos,109,108,109
