variable,M4_level_covid,M5_level_covid,M6_level_covid
cash_to_assets,-94.6692***,-109.2328***,-93.7382***
,(33.8124),(34.5814),(33.6706)
covid_dummy,-5.8184**,5.5425*,-2.1096
,(2.5938),(3.3437),(2.5572)
credit_curve_change,-2.3930**,10.1835***,-2.2338*
,(1.1509),(1.9550),(1.1501)
credit_curve_level,7.5871***,-21.5819***,6.8131***
,(2.2185),(4.0412),(2.2255)
credit_market_level_log,-23.8562***,-8.8103*,-20.4297***
,(2.7149),(4.7481),(5.0457)
credit_market_level_log_x_market_power,,11.7179***,
,,(2.3876),
credit_market_level_log_x_rollover,,-71.1388,-61.4645
,,(44.2987),(48.0204)
current_ratio,7.3053*,8.0660*,7.2216*
,(4.1030),(4.3545),(4.1007)
interest_coverage,0.0245,0.0118,0.0255
,(0.0280),(0.0299),(0.0277)
ivol_252,268.6606***,256.3012***,270.2226***
,(31.0005),(33.6664),(30.9522)
leverage,24.1370,34.1135*,26.6863
,(18.4878),(19.8071),(18.4335)
log_assets,0.6755,-4.9396,1.4979
,(6.3542),(7.0530),(6.2831)
mkt_ret,,,-58.1429***
,,,(14.9425)
mkt_ret_x_leverage,,,-130.3336***
,,,(38.9733)
move_eom,0.0462,0.1023**,-0.0327
,(0.0407),(0.0475),(0.0428)
policy_rate,-8.2573***,-8.6730***,-7.0942***
,(0.8410),(0.8156),(0.8242)
residual_maturity_mean,6.6383***,7.5803***,6.4820***
,(0.9172),(0.9973),(0.9187)
rollover_12m,21.2996,371.8030*,318.6771
,(14.6684),(217.8946),(236.1791)
term_spread_10y_2y,-34.5817***,-42.8544***,-35.9987***
,(2.2018),(2.2438),(2.2475)
Observaciones,15706,13969,15706
Firmas,170,168,170
Periodos,109,108,109
