variable,M4_shock_covid,M5_shock_covid,M6_shock_covid
cash_to_assets,-94.7882***,-108.6056***,-91.7348***
,(33.8305),(34.9551),(33.6514)
covid_dummy,-12.1739***,-3.8647,-9.0241***
,(2.5058),(3.4013),(2.4848)
credit_curve_shock,-1.2319***,0.7945,-1.0721***
,(0.0841),(0.6138),(0.0840)
credit_tightening_shock,-8.4708***,-8.7753***,-1.9316
,(1.5746),(2.3131),(2.3401)
credit_tightening_shock_x_market_power,,15.0914,
,,(15.3092),
credit_tightening_shock_x_rollover,,5.8679,11.1571
,,(15.8800),(16.0681)
current_ratio,7.3015*,7.9932*,7.0215*
,(4.0838),(4.3520),(4.0656)
interest_coverage,0.0222,0.0157,0.0224
,(0.0283),(0.0304),(0.0281)
ivol_252,272.3191***,257.8170***,273.7595***
,(30.4075),(33.4165),(30.3441)
leverage,23.4627,29.6570,24.7357
,(18.4907),(19.8858),(18.5123)
log_assets,1.6148,-4.3401,2.1512
,(6.2422),(7.0548),(6.1969)
mkt_ret,,,-55.7491***
,,,(14.8675)
mkt_ret_x_leverage,,,-130.6268***
,,,(38.5942)
move_eom,0.0227,0.0958**,-0.0549
,(0.0370),(0.0480),(0.0388)
policy_rate,-10.7716***,-11.6104***,-9.9414***
,(0.9447),(0.8996),(0.9314)
residual_maturity_mean,6.3982***,7.7944***,6.3405***
,(0.8746),(0.9939),(0.8738)
rollover_12m,20.2499,24.8073,18.2873
,(14.6811),(15.4680),(14.6731)
term_spread_10y_2y,-34.2910***,-42.0501***,-36.1049***
,(2.3942),(2.3511),(2.4390)
Observaciones,15706,13969,15706
Firmas,170,168,170
Periodos,109,108,109
