,n_obs,n_firms,n_time,dep_var,rhs_vars,time_fe,firm_fe,battery
M0,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252,True,True,covid
M1_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy,False,True,covid
M2_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret,False,True,covid
M3_covid,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | mkt_ret_x_leverage | mkt_ret_x_market_power,False,True,covid
M4_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_level | credit_slope,False,True,covid
M5_covid,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_level | credit_slope | credit_level_x_rollover | credit_level_x_market_power,False,True,covid
M6_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,False,True,covid
M4_shock_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock | credit_curve_shock,False,True,covid
M5_shock_covid,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock | credit_curve_shock | credit_tightening_shock_x_rollover | credit_tightening_shock_x_market_power,False,True,covid
M6_shock_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_tightening_shock | credit_curve_shock | mkt_ret_x_leverage | credit_tightening_shock_x_rollover,False,True,covid
M4_lag_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock_l1 | credit_curve_shock_l1,False,True,covid
M5_lag_covid,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock_l1 | credit_curve_shock_l1 | credit_tightening_shock_l1_x_rollover | credit_tightening_shock_l1_x_market_power,False,True,covid
M6_lag_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_tightening_shock_l1 | credit_curve_shock_l1 | mkt_ret_x_leverage | credit_tightening_shock_l1_x_rollover,False,True,covid
M4_level_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_market_level_log | credit_curve_level | credit_curve_change,False,True,covid
M5_level_covid,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_market_level_log | credit_curve_level | credit_curve_change | credit_market_level_log_x_rollover | credit_market_level_log_x_market_power,False,True,covid
M6_level_covid,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_market_level_log | credit_curve_level | credit_curve_change | mkt_ret_x_leverage | credit_market_level_log_x_rollover,False,True,covid
