variable,M0,M1,M2,M3,M4,M5,M6
leverage,38.4453*,38.4453*,38.4453*,44.4020**,38.4453*,42.9744*,39.8967*
,(20.3370),(20.3370),(20.3370),(22.5778),(20.3370),(22.4579),(20.4575)
log_assets,12.7123*,12.7123*,12.7123*,10.9993,12.7123*,11.0239,12.6949*
,(7.2382),(7.2382),(7.2382),(7.7166),(7.2382),(7.7164),(7.2381)
cash_to_assets,-44.7191,-44.7191,-44.7191,-44.6044,-44.7191,-44.8122,-44.4985
,(28.6335),(28.6335),(28.6335),(29.4055),(28.6335),(29.4062),(28.6436)
current_ratio,3.0642,3.0642,3.0642,2.5382,3.0642,2.5686,3.0307
,(3.6055),(3.6055),(3.6055),(3.9289),(3.6055),(3.9284),(3.6062)
interest_coverage,0.0224,0.0224,0.0224,0.0197,0.0224,0.0195,0.0226
,(0.0227),(0.0227),(0.0227),(0.0247),(0.0227),(0.0247),(0.0228)
residual_maturity_mean,3.9206***,3.9206***,3.9206***,3.9660***,3.9206***,3.9692***,3.9183***
,(0.8430),(0.8430),(0.8430),(0.8880),(0.8430),(0.8872),(0.8440)
rollover_12m,0.8612,0.8612,0.8612,-1.2110,0.8612,-1.2584,0.9000
,(13.1748),(13.1748),(13.1748),(14.2361),(13.1748),(14.2071),(13.1956)
ivol_252,217.1054***,217.1054***,217.1054***,232.1077***,217.1054***,232.4432***,216.7691***
,(36.1161),(36.1161),(36.1161),(38.0123),(36.1161),(38.0809),(36.0450)
mkt_ret_x_leverage,,,,-118.0390***,,,-120.5126***
,,,,(39.4994),,,(39.1304)
mkt_ret_x_market_power,,,,57.5549,,,
,,,,(52.5904),,,
credit_level_x_rollover,,,,,,-1.8836,0.1442
,,,,,,(13.8433),(14.4011)
credit_level_x_market_power,,,,,,16.4636,
,,,,,,(14.5017),
Observaciones,15706,15706,15706,13969,15706,13969,15706
Firmas,170,170,170,168,170,168,170
Periodos,109,109,109,108,109,108,109
