variable,vif,severity,recommendation
mkt_ret,7.383940335702289,Moderado,Revisar interpretación conjunta
mkt_ret_x_leverage,7.278428783751819,Moderado,Revisar interpretación conjunta
term_spread_10y_2y,2.753922252055549,Bajo,Mantener
policy_rate,2.5550489319916276,Bajo,Mantener
move_eom,2.32643451978959,Bajo,Mantener
credit_level,1.900458168789755,Bajo,Mantener
credit_level_x_rollover,1.8654942401498844,Bajo,Mantener
current_ratio,1.5724478303800304,Bajo,Mantener
cash_to_assets,1.4547530124928554,Bajo,Mantener
leverage,1.2003431788493029,Bajo,Mantener
residual_maturity_mean,1.1983492041252417,Bajo,Mantener
interest_coverage,1.1779809102544587,Bajo,Mantener
log_assets,1.1075461421344002,Bajo,Mantener
rollover_12m,1.0732849818452435,Bajo,Mantener
ivol_252,1.0637935596276888,Bajo,Mantener
credit_slope,1.0032697755095223,Bajo,Mantener
